source,author,title,category,description,url,urlToImage,publishedAt,content
HuffPost,Carly Ledbetter,Conan O'Brien Makes A Dire Prediction After The Colbert Cancellation - HuffPost,entertainment,"CBS announced it is ending ""The Late Show"" for good in 2026.",https://www.huffpost.com/entry/conan-o-brien-colbert-cancellation_n_68a33e2de4b0858c76432dc4,https://img.huffingtonpost.com/asset/68a3501c170000e04163e624.jpeg?cache=obEEvSVICs&ops=500_281%2Cscalefit_1200_630,2025-08-18T16:46:52Z,"Conan OBrien knows what happens next after The Late Show With Stephen Colbert goes off the air. 
Late night television, as we have known it since around 1950, is going to disappear, the former late … [+2397 chars]"
The Cut,Emily Leibert,Jade Thirlwall Has a Bone to Pick With Matty Healy - The Cut,entertainment,"Former Little Mix star Jade Thirlwall is not impressed with the 1975’s frontman. In an interview with the ‘Guardian,’ the pop star said she finds Matty Healy’s apoliticism “disappointing.”",http://www.thecut.com/article/jade-thirlwall-bone-to-pick-matty-healy-politics.html,https://pyxis.nymag.com/v1/imgs/a8c/538/a5778e2ee7359dd020b08672ac3713cace-Jade-Thirlwall.1x.rsocial.w1200.jpg,2025-08-18T16:29:28Z,"There are so many reasons to dislike Matty Healy that you dont even have to be a Swiftie to find one. Take former Little Mix member Jade Thirlwall, who spoke to the Guardian about her vocal support f… [+1575 chars]"
TVInsider,Avery Thompson,Ryan Paevey Returning to ‘General Hospital’ — But Not As Nathan West - TV Insider,entertainment,The actor became a fan-favorite during his original 'GH' run.,https://www.tvinsider.com/1209533/ryan-paevey-returning-general-hospital-new-character-nathan-west/,https://www.tvinsider.com/wp-content/uploads/2025/08/ryan-paevey-general-hospital-1014x570.jpg,2025-08-18T16:16:31Z,"Ryan Paevey is making his way back to Port Charles! The soap star, who notably played Det. Nathan West on General Hospital from 2013 to 2018, is returning to the ABC sudser.
You might be thinking: D… [+1937 chars]"
Parade,Michelle Stein,'Counting On' Star Jana Duggar Is Pregnant With Her and Stephen Wissmann's First Baby - Yahoo Lifestyle Australia,entertainment,The former TLC star said 'I do' to Wissmann on Aug. 15.,https://parade.com/news/counting-on-star-jana-duggar-pregnant-stephen-wissmann-first-baby,https://s.yimg.com/ny/api/res/1.2/QFre.i69FB8_EM1evupr8A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/parade_250/99c86a51f3c48cb6233a6038f1c0759c,2025-08-18T16:03:41Z,"'Counting On' Star Jana Duggar Is Pregnant With Her and Stephen Wissmann's First Baby originally appeared on Parade.
Jana Duggar is pregnant with her first child!
The former Counting On star marrie… [+2249 chars]"
Buzzfeed,Leyla Mohammed,Jenna Ortega And Gwendoline Christie's Shocking Height Difference Is Going Viral - BuzzFeed,entertainment,Screaming at the person who said Jenna looks like Gwendoline’s Labubu.,https://www.buzzfeed.com/leylamohammed/jenna-ortega-gwendoline-christie-height-difference-wednesday,"https://img.buzzfeed.com/buzzfeed-static/static/2025-08/18/15/thumb/87XUzPozj.jpg?crop=1250:654;0,7%26downsize=1250:*",2025-08-18T15:42:49Z,"At a point I thought she was sitting down, one person wrote. Another shocked fan said, this can't be real."
Variety,,Jimmy Kimmel Blasts Reports of Stephen Colbert’s ‘Late Show’ Losing $40 Million for CBS: ‘Not a Snowball’s Chance in Hell That’s Accurate’ - Variety,entertainment,,https://variety.com/2025/tv/awards/jimmy-kimmel-defends-colbert-late-night-tv-not-dying-1236479160/,,2025-08-18T15:30:00Z,
HuffPost,Carly Ledbetter,Sophie Turner Had A 'Vile' Experience With Kit Harington On The Set Of Their New Movie - HuffPost,entertainment,"""It was the worst — another really bad moment in my career,” the actor said.",https://www.huffpost.com/entry/sophie-turner-kit-harington-film_n_68a31ed8e4b0b028bc35c44e,https://img.huffingtonpost.com/asset/68a33292180000bf318c59d9.png?cache=Nx46lkeps8&ops=500_281%2Cscalefit_1200_630,2025-08-18T15:22:13Z,"Sophie Turner worked with Kit Harington for years on the hit HBO series Game of Thrones.
But theres one thing the pair, who played brother and sister on the show, never had to do: film intimate scen… [+2703 chars]"
USA Today,Bryan West,New countdown on Taylor Swift's website points to 2 p.m. ET. What could it mean? - USA Today,entertainment,Taylor Swift put a four hour countdown up on her website on Aug. 18 with a purple glittery background.,https://www.usatoday.com/story/entertainment/music/2025/08/18/new-countdown-taylor-swift-website-2-pm/85708210007/,"https://www.usatoday.com/gcdn/authoring/authoring-images/2025/08/13/USAT/85651322007-1-front-image-only.jpg?crop=5993,3373,x0,y248&width=3200&height=1802&format=pjpg&auto=webp",2025-08-18T14:51:51Z,"<ul><li>Taylor Swift has launched a four-hour countdown on her website, exciting fans.</li><li>The countdown may be leading to a single announcement, music video, documentary announcement or merchand… [+1623 chars]"
AL.com,Mark Heim | mheim@al.com,Reality TV couple calls it quits months after season finale: ‘I feel it’s best to move forward separately’ - AL.com,entertainment,The announcement was made over the weekend on social media.,https://www.al.com/life/2025/08/reality-tv-couple-calls-it-quits-months-after-season-finale-i-feel-its-best-to-move-forward-separately.html,https://www.al.com/resizer/v2/YAGYT4LHZJHPLHPDBGOYSWPS7M.jpeg?auth=60e49ee44e82d1dbdf635757b98800a4e215bebc51c1692b93343fdc16b60f82&width=1280&quality=90,2025-08-18T14:48:00Z,"John and Clair of ""Farmer Wants a Wife"" are no longer a couple, just months after the season finale.
John Sansone confirmed Saturday the break-up in an Instagram post, explaining that the breakup wa… [+1258 chars]"
Figure Four Online,Joseph Currier,WWE News: Main event set for next AAA Worlds Collide - F4W/WON,entertainment,"This September, Dominik Mysterio will get another chance to challenge for the AAA Mega Championship.",https://www.f4wonline.com/news/wwe/mega-title-match-set-for-next-wwe-aaa-worlds-collide/,https://cdn.f4wonline.com/wp-content/uploads/2025/08/vikingomega.jpg,2025-08-18T14:36:37Z,"This September, Dominik Mysterio will get another chance to challenge for the AAA Mega Championship.
El Hijo del Vikingo will defend his Mega Championship against Dominik at WWE &amp; Lucha Libre AA… [+1524 chars]"
Pitchfork,Jazz Monroe,Dijon Announces Tour - Pitchfork,entertainment,Dates in North America and Europe start in October and run into early 2026,https://pitchfork.com/news/dijon-announces-tour/,"https://media.pitchfork.com/photos/689de8cb8c01f86fc3154c4c/16:9/w_1280,c_limit/Dijon.jpeg",2025-08-18T14:26:48Z,"Dijon has announced a tour of North America and Europe behind new album Baby. A North American run kicks off in San Diego on October 25, taking in a number of West Coast cities before moving inland a… [+1551 chars]"
NPR,,'Can't stop. Won't stop': Documentary filmmakers face federal funding shortfall - NPR,entertainment,"PBS has been a home for independent documentaries for more than 50 years. But with the closure of the Corporation for Public Broadcasting, nonfiction storytellers have to figure out a way forward.",https://www.npr.org/2025/08/18/nx-s1-5490964/documentary-funding-cpb-pbs,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/720x405+0+148/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fd6%2F1c%2F1b890cd241079e82ebea4cc8063d%2Fthumbnail-1000009628.jpg,2025-08-18T14:00:00Z,"The Corporation for Public Broadcasting (CPB) has helped make PBS a home for independent documentaries for more than 50 years. In an email to NPR, CPB said it provided over $24 million to documentary… [+8153 chars]"
TVInsider,Martin Holmes,Tyne Daly Explains Why She Wasn’t Invited to Her Brother Tim Daly’s Wedding to Téa Leoni - TV Insider,entertainment,"The 'Madam Secretary' stars tied the knot in a small, private ceremony.",https://www.tvinsider.com/1209518/tyne-daly-tim-daly-tea-leoni-wedding-madam-secretary/,https://www.tvinsider.com/wp-content/uploads/2025/08/tyne-daly-brother-tim-wedding-tea-leoni-1-1014x570.jpg,2025-08-18T13:57:40Z,"Actor Tim Daly married his long-time partner and Madam Secretary co-star Téa Leoni in July, but his sister, Cagney &amp; Lacey alum Tyne Daly, wasn’t invited to the ceremony.
The actress spoke to Pe… [+1712 chars]"
Google News,IGN,Fallout Season 2 First-Look Images Show Walton Goggins' Cooper Howard on the New Vegas Strip in a Flashback - IGN,entertainment,,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNMmJxY2ZONGdGcGl0RHE4SjFwelczUWJWeGQtZ0dubTlqNFFaQkR2ZEhiTW1ZamZPLTNIQVNBdXJmdnBxNGJGQUNfTjBLVE84WGZZa05GbDFSLXdtTzgxM0ZiNGFwdUN4dklHLWZPc0tsa1NJejlPR0k2SGdKZ3diWnJ2WHZUWjRfOGdjbXA5YWRyN2tON3JuZkZMR1d0VGZUSi1rbHdRRXV3NE1zb2V5eFppcDBxYkh3MEpKVEZSb24zVDdFcTFUeFB1TDluMUFY?oc=5,,2025-08-18T13:34:17Z,
Hollywood Reporter,Hilary Lewis,2025 VMAs: Sabrina Carpenter Among First Group of Performers (Exclusive) - The Hollywood Reporter,entertainment,"Sombr, Alex Warren and J Balvin featuring DJ Snake will also take the stage at New York's UBS Arena for the annual music event, airing live for the first time on CBS as well as longtime home MTV.",http://www.hollywoodreporter.com/news/music-news/2025-vmas-performers-sabrina-carpenter-j-balvin-sombr-more-1236346620/,https://www.hollywoodreporter.com/wp-content/uploads/2025/06/GettyImages-2171405306-e1750877175501.jpg?w=1440&h=810&crop=1,2025-08-18T13:30:30Z,"Sabrina Carpenter, Sombr, Alex Warren and J Balvin featuring DJ Snake are all set to perform during the 2025 MTV VMAs, The Hollywood Reporter is revealing exclusively.
Carpenter is nominated for eig… [+2462 chars]"
Variety,Ellise Shafer,Ozzy Osbourne Doc Pulled From BBC Schedule Hours Before Broadcast - Variety,entertainment,A documentary about Ozzy Osbourne set to air on the BBC Monday night has been pulled from the broadcaster's schedule and postponed.,https://variety.com/2025/music/news/ozzy-osbourne-doc-pulled-bbc-schedule-1236491838/,https://variety.com/wp-content/uploads/2025/08/ozzy.jpg?w=1000&h=563&crop=1,2025-08-18T13:22:00Z,"A documentary about Ozzy Osbourne set to air on BBC One Monday night has been pulled from the broadcaster’s schedule and postponed.
“The film has moved in the schedules and we’ll confirm new tx deta… [+1479 chars]"
Buzzfeed,Leyla Mohammed,Alicia Silverstone Recalled Kissing Her 30-Year-Old Costar At Age 15 In This Controversial ‘90s Film - BuzzFeed,entertainment,"""I just remember that, when I was little, telling people that I was going to kiss the boy from 'The Princess Bride,' but he's a lot older than me.""",https://www.buzzfeed.com/leylamohammed/alicia-silverstone-kissing-30-year-old-cary-elwes-15,"https://img.buzzfeed.com/buzzfeed-static/static/2025-08/18/12/thumb/ambzXOtvk.jpg?crop=2999:1570;0,0%26downsize=1250:*",2025-08-18T13:19:52Z,"Alicia went on to recall feeling somewhat possessive over Cary when his wife, Lisa Marie Kubikoff, took photos of the two of them on set.
Lisa Marie, his wife, sent me pictures from back in the day … [+114 chars]"
ESPN,Harry Lyles Jr.,"How 'A League of Their Own' started a feud between Madonna and Evansville, Indiana - ESPN",entertainment,An interview snub and a stray comment about Prague led to a parking lot protest of the Queen of Pop.,https://www.espn.com/mlb/story/_/id/45965747/madonna-league-their-own-evansville-indiana,https://a2.espncdn.com/combiner/i?img=%2Fphoto%2F2025%2F0804%2Fespn_madonna%2Devansville_16x9.jpg,2025-08-18T13:00:00Z,"EVANSVILLE, INDIANA, IS one of America's biggest small towns, sitting on a bend in the Ohio River with a population of around 120,000. Its residents are a proud people.
They're proud of their town's… [+21215 chars]"
Deadline,Katie Campione,Mexican Lucha Libre Promotion AAA’s TripleMania XXXIII Sees Record Viewership - Deadline,entertainment,"TripleMania XXXIII drew 4.1M viewers in the first 24 hours, the WWE says",http://deadline.com/2025/08/triplemania-xxxiii-viewership-mexican-lucha-libre-aaa-1236490493/,https://deadline.com/wp-content/uploads/2025/08/20250818_AAA_TripleMania_FinalCard.jpg?w=1000,2025-08-18T12:45:00Z,"Mexican lucha libre promotion AAA set a viewership record for Saturday’s TripleMania XXXIII.
The first to be held since the WWEacquired the brand, the annual event drew more than 4M viewers within t… [+993 chars]"
Variety,Ellise Shafer,"Ian McKellen Says Gandalf and Frodo Will Return in Andy Serkis’ ‘Lord of the Rings: The Hunt for Gollum’: ‘Apart From That, My Lips Are Sealed!’ - Variety",entertainment,"According to Ian McKellen, Andy Serkis' upcoming ""Lord of the Rings"" movie, ""The Hunt for Gollum,"" will feature Gandalf and Frodo.",https://variety.com/2025/film/global/ian-mckellen-gandalf-frodo-return-andy-serkis-lotr-movie-1236491764/,https://variety.com/wp-content/uploads/2025/08/MCDLOOF_EC012.jpg?w=1000&h=563&crop=1,2025-08-18T11:49:00Z,"According to Ian McKellen, Andy Serkis‘ upcoming “Lord of the Rings” movie, “The Hunt for Gollum,” will feature some familiar faces.
During a “LOTR” panel at London’s For Love of Fantasy event on Su… [+1315 chars]"
Buzzfeed,Stephanie Soteriou,Martin Short Praised For How He Handled Being Asked About His Late Wife As If She Were Alive - BuzzFeed,entertainment,“He didn’t want to embarrass her or make it awkward so he just went with it and took the chance to talk about the woman he loved.”,https://www.buzzfeed.com/stephaniesoteriou/martin-short-praised-resurfaced-today-show-interview-wife,"https://img.buzzfeed.com/buzzfeed-static/static/2025-08/18/10/thumb/0Fwv-zsTF.jpg?crop=2999:1570;0,0%26downsize=1250:*",2025-08-18T10:46:56Z,
Mashable,Sam Haysom,Stephen King shares his 8-word review of 'Weapons' - Mashable,entertainment,Is the horror master a fan?,https://mashable.com/article/stephen-king-weapons-review,https://helios-i.mashable.com/imagery/articles/03N5Ogc7PmjWTriMpr9dFhU/hero-image.fill.size_1200x675.v1755505610.jpg,2025-08-18T10:33:58Z,
Variety,Ellise Shafer,Helen Mirren Says James Bond Must 'Be a Guy': A Woman 'Doesn't Work' - Variety,entertainment,"Helen Mirren may play a retired spy in ""The Thursday Murder Club,"" but the Oscar winner insists that the new James Bond ""has to be a guy.""",https://variety.com/2025/film/global/helen-mirren-james-bond-must-be-a-guy-woman-doesnt-work-1236491708/,https://variety.com/wp-content/uploads/2025/08/helen-mirren.jpg?w=1000&h=563&crop=1,2025-08-18T09:27:00Z,"Helen Mirren may play a retired spy in her new film “The Thursday Murder Club,” but the Oscar winner insists that the next James Bond “has to be a guy.”
In a new interview with Saga Magazine (via BB… [+1618 chars]"
Rolling Stone,Emily Zemler,"Guy Pearce, Edgar Wright, Billy Idol Pay Tribute to Terence Stamp: ‘A True Movie Star’ - Rolling Stone",entertainment,Hollywood filmmaker and actors have paid tribute to actor Terence Stamp following his death at age 87.,http://www.rollingstone.com/tv-movies/tv-movie-news/terence-stamp-tributes-guy-pearce-edgar-wright-billy-idol-1235410346/,https://www.rollingstone.com/wp-content/uploads/2025/08/GettyImages-111961423.jpg?w=1600&h=900&crop=1,2025-08-18T08:54:32Z,"Numerous actors, filmmakers, and musicians have paid tribute to Terence Stamp following his death at 87. 
The Oscar-nominated British actor was best known for starring in The Limey, Billy Budd, and … [+3686 chars]"
Suntimes.com,Georgia Nicols,"Horoscope for Monday, August 18, 2025 - Chicago Sun-Times",entertainment,,https://chicago.suntimes.com/horoscopes/2025/08/18/horoscopes-today-monday-august-18-2025,https://cst.brightspotcdn.com/dims4/default/2145dbd/2147483647/strip/true/crop/870x497+0+67/resize/1461x834!/quality/90/?url=https%3A%2F%2Fchorus-production-cst-web.s3.us-east-1.amazonaws.com%2Fbrightspot%2Fac%2Ffd%2F790f04b15195427014757adc0272%2Fgeorgia-nicols.jpg,2025-08-18T05:01:00Z,"Moon Alert
Caution! Avoid shopping (except food and gas) or important decisions from 6:30 a.m. to 2:30 p.m. After that, the moon moves from Gemini into Cancer
Aries (March 21-April 19)
 Today begi… [+4119 chars]"
Hindustan Times,Sugandha Rawal,Leonardo DiCaprio reminds internet of Jack Nicholson in latest photos from a yacht with Vittoria: 'Can't unsee it' | Hollywood - Hindustan Times - Hindustan Times,entertainment,"Leonardo DiCaprio, 50, and Vittoria Ceretti, 27, were seen soaking up the sun and splashing in the sea during a yacht outing near Formentera on August 15.&nbsp; | Hollywood",https://www.hindustantimes.com/entertainment/hollywood/leonardo-dicaprio-reminds-internet-of-jack-nicholson-in-latest-photos-from-beach-day-with-vittoria-ceretti-101755488369819.html,https://www.hindustantimes.com/ht-img/img/2025/08/18/1600x900/Leonardo_DiCaprio_1755488480561_1755488480766.jpg,2025-08-18T04:10:19Z,Hollywood actor Leonardo DiCaprio was recently spotted soaking up the sun with girlfriend Vittoria Ceretti as the two enjoyed a boat ride and a swim in the Mediterranean Sea. While their seaside roma… [+2804 chars]
Parade,Megan Johnson,"Sally Field, 78, Is Gray Hair Goals on the Red Carpet - AOL.com",entertainment,She's as stunning as ever!,https://parade.com/news/sally-field-78-gray-hair-goals-red-carpet,https://s.yimg.com/ny/api/res/1.2/PpZATOklv.CaxbbSYF5g1g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/aol_parade_744/b2eef88e97b98a4ab508608f9a25df01,2025-08-18T03:29:00Z,"Sally Field, 78, Is Gray Hair Goals on the Red Carpet originally appeared on Parade.
Sally Field is 78 and better than ever.
The legendary film and television actress, known for roles ranging from … [+1649 chars]"
BBC News,,Bindi Irwin: 'Genuinely healing' after 13 years of endometriosis pain - BBC,entertainment,Her story has reignited conversations about the condition that affects about one in ten women.,https://www.bbc.com/news/articles/c209dz1yd22o,https://ichef.bbci.co.uk/news/1024/branded_news/406a/live/ba913930-7bd7-11f0-a634-73b1bf10770e.jpg,2025-08-18T02:59:35Z,"Bindi Irwin says she's on the mend after 13 years of endometriosis pain
Australian conservationist and TV personality Bindi Irwin has said she is ""genuinely healing"" after suffering years of pain fr… [+2332 chars]"
New York Daily News,Theresa Braine,"Russian model, Miss Universe 2017 contestant Kseniya Alexandrova dead at 30 - New York Daily News",entertainment,"The modeling and pageant worlds are mourning Russian Miss Universe 2017 contestant Kseniya Alexandrova, who has died weeks after an elk crashed through her windshield. She was 30.",https://www.nydailynews.com/2025/08/17/miss-universe-contestant-kseniya-alexandrova-dead-elk-windshield-russia/,https://www.nydailynews.com/wp-content/uploads/2025/08/0817ka1.jpg?w=1024&h=614,2025-08-18T01:32:49Z,"The modeling and pageant worlds are mourning Russian Miss Universe 2017 contestant Kseniya Alexandrova, who has died weeks after an elk crashed through her car’s windshield.
The Miss Russia 2017 fir… [+2851 chars]"
Rolling Stone,Althea Legaspi,"Soulshine at Sea 3 Original Event Canceled After Dispatch, Maggie Rose, More Pull Out - Rolling Stone",entertainment,The original Soulshine at Sea 3 cruise has been canceled after Dispatch and more artists pulled out citing allegations against an unnamed individual.,http://www.rollingstone.com/music/music-news/soulshine-at-sea-3-canceled-dispatch-maggie-rose-pull-out-1235410303/,https://www.rollingstone.com/wp-content/uploads/2025/08/DispatchForestHills-1.jpg?w=1600&h=900&crop=1,2025-08-17T22:26:47Z,"Dispatch, Maggie Rose, Hirie, and Liz Vice are among the artists that were originally slated to set sail on Soulshine at Sea 3, but after the artists began pulling out of the lineup, festival promote… [+5211 chars]"
Deadline,Glenn Garner,Sarah Jessica Parker Says “I Don’t Really Care” About ‘And Just Like That’s Hate Watchers - Deadline,entertainment,"As 'And Just Like That...' ends, Sarah Jessica Parker recently addressed the show's ""hate watchers,"" who have been vocal on social media.",http://deadline.com/2025/08/sarah-jessica-parker-dont-care-and-just-like-that-hate-watchers-1236490382/,https://deadline.com/wp-content/uploads/2025/06/Screenshot-2025-06-07-at-11.10.36.png?w=1024,2025-08-17T21:50:00Z,"With the return of her Sex and the City heroine she originated nearly three decades ago, Sarah Jessica Parker might not have been prepared for the meme-ification of Carrie Bradshaw and friends.
As t… [+2169 chars]"
Daily Beast,Emell Derra Adolphus,Karoline Leavitt Drops Cross Pendant After ‘South Park’ Spoof - The Daily Beast,entertainment,The White House press secretary’s signature necklace has been noticeably absent after being brutally trolled.,https://www.thedailybeast.com/karoline-leavitt-drops-cross-pendant-after-south-park-spoof/,https://www.thedailybeast.com/resizer/v2/MGPS6HPMJZG6XGSR5JT6Y4E4AM.jpg?smart=true&auth=bbfe6a3bfaaccff73f34682467af5b4277a42bb5426ad2bc3bd4d80718d8a809&width=1200&height=630,2025-08-17T20:30:00Z,"White House Press Secretary Karoline Leavitt was spotted with her signature silver cross necklace again, weeks after seemingly tucking the accessory away following a South Park episode spoofing her.… [+2947 chars]"
Just Jared,,"Netflix Cancels 5 TV Shows, Renews Many Big Titles & Announces a Huge Hit Is Ending: Cancellation & Renewal Recap for 2025 - Just Jared",entertainment,See what has been canceled and renewed over at Netflix,https://www.justjared.com/2025/08/17/netflix-cancels-5-tv-shows-renews-many-big-titles-announces-a-huge-hit-is-ending-cancellation-renewal-recap-for-2025/,https://cdn01.justjared.com/wp-content/uploads/headlines/2025/08/netflix-most-popular1.jpg,2025-08-17T15:07:31Z,"Netflix has been canceling quite a few original TV shows lately, but thankfully, they’ve also greenlit some of their series for new seasons as well.
Just Jared has been keeping track of the biggest … [+231 chars]"
